X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12 X13 X14 X16 X17 X18 X21 X23 X24 "Y(1=default, 0=non-default)"
0.0 0.03571428571428571 1.0 0.057692307692307696 1.0 1.0 0.6666666666666667 1.0 0.0 0.8703703703703703 1.0 0.3333333333333333 0.0 1.0 0.0 0.0 1.0 1.0 0.0 1.0 1
0.3333333333333333 0.7857142857142857 0.5 0.36538461538461536 0.0 0.5 0.3333333333333333 0.3333333333333333 0.0 0.037037037037037035 1.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 1.0 0
1.0 0.14285714285714285 1.0 0.11538461538461538 0.0 0.75 0.6666666666666667 0.6666666666666667 0.0 0.537037037037037 1.0 0.0 1.0 0.0 0.0 0.0 1.0 1.0 1.0 0.0 1
0.0 0.6785714285714286 0.5 0.48717948717948717 0.0 0.75 0.6666666666666667 1.0 0.3333333333333333 0.4629629629629629 1.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1
0.0 0.3571428571428571 0.75 0.2948717948717949 0.0 0.5 0.6666666666666667 1.0 1.0 0.611111111111111 1.0 0.3333333333333333 1.0 0.0 1.0 0.0 1.0 0.0 0.0 1.0 0
1.0 0.5714285714285714 0.5 0.564102564102564 1.0 0.5 0.6666666666666667 1.0 1.0 0.2777777777777778 1.0 0.0 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1
1.0 0.3571428571428571 0.5 0.16025641025641024 0.5 1.0 0.6666666666666667 1.0 0.3333333333333333 0.611111111111111 1.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 1.0 1
0.3333333333333333 0.5714285714285714 0.5 0.4230769230769231 0.0 0.5 0.6666666666666667 0.3333333333333333 0.6666666666666667 0.2777777777777778 1.0 0.0 0.0 1.0 0.0 1.0 1.0 0.0 0.0 0.0 1
1.0 0.14285714285714285 0.5 0.17948717948717946 0.75 0.75 0.0 1.0 0.0 0.7592592592592592 1.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 0.0 1
0.3333333333333333 0.4642857142857143 1.0 0.3141025641025641 0.0 0.0 1.0 0.3333333333333333 0.6666666666666667 0.14814814814814814 1.0 0.3333333333333333 0.0 0.0 1.0 0.0 1.0 1.0 0.0 0.0 0
0.3333333333333333 0.14285714285714285 0.5 0.0641025641025641 0.0 0.25 0.3333333333333333 0.0 0.6666666666666667 0.09259259259259256 1.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 1.0 0
0.0 0.7857142857142857 0.5 0.2564102564102564 0.0 0.25 0.3333333333333333 1.0 0.3333333333333333 0.07407407407407407 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0 0
